Entry	Info			Status	Organism	Organism ID
O52791	E-value: 0.0;	Score: 1,823;	Ident.: 100.0%		reviewed	Amycolatopsis orientalis (Nocardia orientalis)	31958
A0A1W2FTV4	E-value: 0.0;	Score: 1,699;	Ident.: 91.9%		unreviewed	Kibdelosporangium aridum	2030
B7T1A2	E-value: 0.0;	Score: 1,696;	Ident.: 91.3%		unreviewed	uncultured soil bacterium	164851
E9L1N1	E-value: 0.0;	Score: 1,513;	Ident.: 82.3%		unreviewed	uncultured organism CA878	941421
Q939Y0	E-value: 0.0;	Score: 1,479;	Ident.: 80.4%		unreviewed	Amycolatopsis balhimycina	208443
A0A291RRK9	E-value: 0.0;	Score: 1,457;	Ident.: 78.1%		unreviewed	Nocardia terpenica	455432
A0A2S6GUF5	E-value: 0.0;	Score: 1,451;	Ident.: 79.7%		unreviewed	Actinokineospora auranticolor	155976
A0A229TAU9	E-value: 0.0;	Score: 1,448;	Ident.: 79.2%		unreviewed	Amycolatopsis sp. H5	1905142
G4V4S7	E-value: 0.0;	Score: 1,414;	Ident.: 77.6%		unreviewed	Amycolatopsis orientalis (Nocardia orientalis)	31958
A0A2N8MPH7	E-value: 0.0;	Score: 1,405;	Ident.: 77.2%		unreviewed	Amycolatopsis sp. BJA-103	1911175
A0A154M6Z9	E-value: 0.0;	Score: 1,400;	Ident.: 77.0%		unreviewed	Amycolatopsis regifaucium	546365
A0A1R0KUY0	E-value: 0.0;	Score: 1,396;	Ident.: 77.2%		unreviewed	Amycolatopsis coloradensis	76021
S5TNF3	E-value: 0.0;	Score: 1,396;	Ident.: 76.7%		unreviewed	uncultured bacterium esnapd26	1366607
A0A229RLM3	E-value: 0.0;	Score: 1,383;	Ident.: 76.1%		unreviewed	Amycolatopsis alba DSM 44262	1125972
S4TVF9	E-value: 0.0;	Score: 1,379;	Ident.: 76.2%		unreviewed	Streptomyces sp. WAC1420	1224080
A0A1W2LY45	E-value: 0.0;	Score: 1,372;	Ident.: 76.7%		unreviewed	Amycolatopsis keratiniphila subsp. keratiniphila	227715
A0A1H2IM34	E-value: 0.0;	Score: 1,369;	Ident.: 76.4%		unreviewed	Amycolatopsis keratiniphila	129921
A0A193CCJ7	E-value: 0.0;	Score: 1,365;	Ident.: 77.2%		unreviewed	Amycolatopsis orientalis (Nocardia orientalis)	31958
A0A229RBB9	E-value: 0.0;	Score: 1,365;	Ident.: 76.1%		unreviewed	Amycolatopsis thailandensis	589330
V9NIR6	E-value: 0.0;	Score: 1,360;	Ident.: 74.8%		unreviewed	Streptomyces sp. WAC4229	1224082
F8STY9	E-value: 0.0;	Score: 1,357;	Ident.: 75.1%		unreviewed	Amycolatopsis orientalis (Nocardia orientalis)	31958
A0A075D2T7	E-value: 0.0;	Score: 1,355;	Ident.: 75.8%		unreviewed	Amycolatopsis sp. MJM2582	1427749
M2YDM4	E-value: 0.0;	Score: 1,353;	Ident.: 75.6%		unreviewed	Amycolatopsis decaplanina DSM 44594	1284240
R4T059	E-value: 0.0;	Score: 1,352;	Ident.: 75.0%		unreviewed	Amycolatopsis orientalis HCCB10007	1156913
M2Q9T2	E-value: 0.0;	Score: 1,350;	Ident.: 75.9%		unreviewed	Amycolatopsis azurea DSM 43854	1238180
A0A075UYC1	E-value: 0.0;	Score: 1,342;	Ident.: 75.0%		unreviewed	Amycolatopsis japonica	208439
A0A075FBS9	E-value: 0.0;	Score: 1,327;	Ident.: 73.3%		unreviewed	Amycolatopsis lurida	31959
A0A2P2FRJ8	E-value: 0.0;	Score: 1,327;	Ident.: 73.3%		unreviewed	Amycolatopsis lurida NRRL 2430	1460371
S4TL27	E-value: 3.0E-177;	Score: 1,298;	Ident.: 71.9%		unreviewed	Amycolatopsis sp. WAC1375	1224068
E2D2E2	E-value: 10E-168;	Score: 1,237;	Ident.: 69.6%		unreviewed	uncultured soil bacterium	164851
A0A0P0K918	E-value: 120E-168;	Score: 1,230;	Ident.: 68.5%		unreviewed	Streptomyces sp. DSM 11171	1740725
A0A2P9IBE3	E-value: 20E-162;	Score: 1,195;	Ident.: 67.6%		unreviewed	Actinomadura parvosata subsp. kistnae	1955414
A0A1V0AGC8	E-value: 20E-162;	Score: 1,195;	Ident.: 67.6%		unreviewed	Nonomuraea sp. ATCC 55076	1909395
A0A1Q4VSF3	E-value: 48E-162;	Score: 1,193;	Ident.: 65.7%		unreviewed	Streptomyces sp. CB02923	1718985
A0A081XYS1	E-value: 330E-162;	Score: 1,187;	Ident.: 67.5%		unreviewed	Streptomyces toyocaensis	55952
A0A0A0NGE0	E-value: 420E-162;	Score: 1,188;	Ident.: 65.9%		unreviewed	Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994) (Streptomyces hygroscopicus (strain ATCC 29253))	1343740
